"id","name","monto_servicios","monto_bienes","monto_sipa","monto_obra_social","maximo_facturacion","pago_servicios","pago_bienes"
"monotributo_a","A",228.63,228.63,1008.72,1408.87,370000.00,2646.22,2646.22
"monotributo_b","B",440.49,440.49,1109.59,1408.87,550000.00,2958.95,2958.95
"monotributo_c","C",753.19,696.01,1220.56,1408.87,770000.00,3382.62,3325.44
"monotributo_d","D",1237.37,1143.23,1342.61,1408.87,1060000.00,3988.85,3894.71
"monotributo_e","E",2353.69,1825.79,1476.88,1408.87,1400000.00,5239.44,4711.54
"monotributo_f","F",3238.03,2383.95,1624.56,1408.87,1750000.00,6271.46,5417.38
"monotributo_g","G",4118.99,2972.36,1787.01,1408.87,2100000.00,7314.87,6168.24
"monotributo_h","H",9414.80,7296.50,1965.71,1408.87,2600000.00,12789.38,10671.08
"monotributo_i","I",0,11768.52,2162.29,1408.87,2910000.00,0,15339.68
"monotributo_j","J",0,13829.70,2378.53,1408.87,3335000.00,0,17617.10
"monotributo_k","K",0,15887.51,2616.36,1408.87,3700000.00,0,19912.74
